text,label,tokens
scores a few points for doing what it does with a dedicated and good-hearted professionalism .,1,"['scores', 'few', 'points', 'for', 'doing', 'what', 'it', 'does', 'with', 'dedicated', 'and', 'good', 'hearted', 'professionalism']"
"occasionally melodramatic , it's also extremely effective .",1,"['occasionally', 'melodramatic', 'it', 'also', 'extremely', 'effective']"
spiderman rocks,1,"['spiderman', 'rocks']"
an idealistic love story that brings out the latent 15-year-old romantic in everyone .,1,"['an', 'idealistic', 'love', 'story', 'that', 'brings', 'out', 'the', 'latent', 'year', 'old', 'romantic', 'in', 'everyone']"
"at about 95 minutes , treasure planet maintains a brisk pace as it races through the familiar story . however , it lacks grandeur and that epic quality often associated with stevenson's tale as well as with earlier disney efforts .",1,"['at', 'about', 'minutes', 'treasure', 'planet', 'maintains', 'brisk', 'pace', 'as', 'it', 'races', 'through', 'the', 'familiar', 'story', 'however', 'it', 'lacks', 'grandeur', 'and', 'that', 'epic', 'quality', 'often', 'associated', 'with', 'stevenson', 'tale', 'as', 'well', 'as', 'with', 'earlier', 'disney', 'efforts']"
it helps that lil bow wow . . . tones down his pint-sized gangsta act to play someone who resembles a real kid .,1,"['it', 'helps', 'that', 'lil', 'bow', 'wow', 'tones', 'down', 'his', 'pint', 'sized', 'gangsta', 'act', 'to', 'play', 'someone', 'who', 'resembles', 'real', 'kid']"
"guaranteed to move anyone who ever shook , rattled , or rolled .",1,"['guaranteed', 'to', 'move', 'anyone', 'who', 'ever', 'shook', 'rattled', 'or', 'rolled']"
"a masterful film from a master filmmaker , unique in its deceptive grimness , compelling in its fatalist worldview .",1,"['masterful', 'film', 'from', 'master', 'filmmaker', 'unique', 'in', 'its', 'deceptive', 'grimness', 'compelling', 'in', 'its', 'fatalist', 'worldview']"
"light , cute and forgettable .",1,"['light', 'cute', 'and', 'forgettable']"
"if there's a way to effectively teach kids about the dangers of drugs , i think it's in projects like the ( unfortunately r-rated ) paid .",1,"['if', 'there', 'way', 'to', 'effectively', 'teach', 'kids', 'about', 'the', 'dangers', 'of', 'drugs', 'think', 'it', 'in', 'projects', 'like', 'the', 'unfortunately', 'rated', 'paid']"
"while it would be easy to give crush the new title of two weddings and a funeral , it's a far more thoughtful film than any slice of hugh grant whimsy .",1,"['while', 'it', 'would', 'be', 'easy', 'to', 'give', 'crush', 'the', 'new', 'title', 'of', 'two', 'weddings', 'and', 'funeral', 'it', 'far', 'more', 'thoughtful', 'film', 'than', 'any', 'slice', 'of', 'hugh', 'grant', 'whimsy']"
"though everything might be literate and smart , it never took off and always seemed static .",1,"['though', 'everything', 'might', 'be', 'literate', 'and', 'smart', 'it', 'never', 'took', 'off', 'and', 'always', 'seemed', 'static']"
"cantet perfectly captures the hotel lobbies , two-lane highways , and roadside cafes that permeate vincent's days",1,"['cantet', 'perfectly', 'captures', 'the', 'hotel', 'lobbies', 'two', 'lane', 'highways', 'and', 'roadside', 'cafes', 'that', 'permeate', 'vincent', 'days']"
"ms . fulford-wierzbicki is almost spooky in her sulky , calculating lolita turn .",1,"['ms', 'fulford', 'wierzbicki', 'is', 'almost', 'spooky', 'in', 'her', 'sulky', 'calculating', 'lolita', 'turn']"
"though it is by no means his best work , laissez-passer is a distinguished and distinctive effort by a bona-fide master , a fascinating film replete with rewards to be had by all willing to make the effort to reap them .",1,"['though', 'it', 'is', 'by', 'no', 'means', 'his', 'best', 'work', 'laissez', 'passer', 'is', 'distinguished', 'and', 'distinctive', 'effort', 'by', 'bona', 'fide', 'master', 'fascinating', 'film', 'replete', 'with', 'rewards', 'to', 'be', 'had', 'by', 'all', 'willing', 'to', 'make', 'the', 'effort', 'to', 'reap', 'them']"
"like most bond outings in recent years , some of the stunts are so outlandish that they border on being cartoonlike . a heavy reliance on cgi technology is beginning to creep into the series .",1,"['like', 'most', 'bond', 'outings', 'in', 'recent', 'years', 'some', 'of', 'the', 'stunts', 'are', 'so', 'outlandish', 'that', 'they', 'border', 'on', 'being', 'cartoonlike', 'heavy', 'reliance', 'on', 'cgi', 'technology', 'is', 'beginning', 'to', 'creep', 'into', 'the', 'series']"
"newton draws our attention like a magnet , and acts circles around her better known co-star , mark wahlberg .",1,"['newton', 'draws', 'our', 'attention', 'like', 'magnet', 'and', 'acts', 'circles', 'around', 'her', 'better', 'known', 'co', 'star', 'mark', 'wahlberg']"
"the story loses its bite in a last-minute happy ending that's even less plausible than the rest of the picture . much of the way , though , this is a refreshingly novel ride .",1,"['the', 'story', 'loses', 'its', 'bite', 'in', 'last', 'minute', 'happy', 'ending', 'that', 'even', 'less', 'plausible', 'than', 'the', 'rest', 'of', 'the', 'picture', 'much', 'of', 'the', 'way', 'though', 'this', 'is', 'refreshingly', 'novel', 'ride']"
fuller would surely have called this gutsy and at times exhilarating movie a great yarn .,1,"['fuller', 'would', 'surely', 'have', 'called', 'this', 'gutsy', 'and', 'at', 'times', 'exhilarating', 'movie', 'great', 'yarn']"
"'compleja e intelectualmente retadora , el ladrón de orquídeas es uno de esos filmes que vale la pena ver precisamente por su originalidad . '",1,"['compleja', 'retadora', 'el', 'ladrón', 'de', 'orquídeas', 'es', 'uno', 'de', 'esos', 'filmes', 'que', 'vale', 'la', 'pena', 'ver', 'precisamente', 'por', 'su', 'originalidad']"
the film makes a strong case for the importance of the musicians in creating the motown sound .,1,"['the', 'film', 'makes', 'strong', 'case', 'for', 'the', 'importance', 'of', 'the', 'musicians', 'in', 'creating', 'the', 'motown', 'sound']"
"karmen moves like rhythm itself , her lips chanting to the beat , her long , braided hair doing little to wipe away the jeweled beads of sweat .",1,"['karmen', 'moves', 'like', 'rhythm', 'itself', 'her', 'lips', 'chanting', 'to', 'the', 'beat', 'her', 'long', 'braided', 'hair', 'doing', 'little', 'to', 'wipe', 'away', 'the', 'jeweled', 'beads', 'of', 'sweat']"
gosling provides an amazing performance that dwarfs everything else in the film .,1,"['gosling', 'provides', 'an', 'amazing', 'performance', 'that', 'dwarfs', 'everything', 'else', 'in', 'the', 'film']"
"a real movie , about real people , that gives us a rare glimpse into a culture most of us don't know .",1,"['real', 'movie', 'about', 'real', 'people', 'that', 'gives', 'us', 'rare', 'glimpse', 'into', 'culture', 'most', 'of', 'us', 'don', 'know']"
tender yet lacerating and darkly funny fable .,1,"['tender', 'yet', 'lacerating', 'and', 'darkly', 'funny', 'fable']"
may be spoofing an easy target -- those old '50's giant creature features -- but . . . it acknowledges and celebrates their cheesiness as the reason why people get a kick out of watching them today .,1,"['may', 'be', 'spoofing', 'an', 'easy', 'target', 'those', 'old', 'giant', 'creature', 'features', 'but', 'it', 'acknowledges', 'and', 'celebrates', 'their', 'cheesiness', 'as', 'the', 'reason', 'why', 'people', 'get', 'kick', 'out', 'of', 'watching', 'them', 'today']"
an engaging overview of johnson's eccentric career .,1,"['an', 'engaging', 'overview', 'of', 'johnson', 'eccentric', 'career']"
"in its ragged , cheap and unassuming way , the movie works .",1,"['in', 'its', 'ragged', 'cheap', 'and', 'unassuming', 'way', 'the', 'movie', 'works']"
some actors have so much charisma that you'd be happy to listen to them reading the phone book . hugh grant and sandra bullock are two such likeable actors .,1,"['some', 'actors', 'have', 'so', 'much', 'charisma', 'that', 'you', 'be', 'happy', 'to', 'listen', 'to', 'them', 'reading', 'the', 'phone', 'book', 'hugh', 'grant', 'and', 'sandra', 'bullock', 'are', 'two', 'such', 'likeable', 'actors']"
"sandra nettelbeck beautifully orchestrates the transformation of the chilly , neurotic , and self-absorbed martha as her heart begins to open .",1,"['sandra', 'nettelbeck', 'beautifully', 'orchestrates', 'the', 'transformation', 'of', 'the', 'chilly', 'neurotic', 'and', 'self', 'absorbed', 'martha', 'as', 'her', 'heart', 'begins', 'to', 'open']"
"behind the snow games and lovable siberian huskies ( plus one sheep dog ) , the picture hosts a parka-wrapped dose of heart .",1,"['behind', 'the', 'snow', 'games', 'and', 'lovable', 'siberian', 'huskies', 'plus', 'one', 'sheep', 'dog', 'the', 'picture', 'hosts', 'parka', 'wrapped', 'dose', 'of', 'heart']"
"everytime you think undercover brother has run out of steam , it finds a new way to surprise and amuse .",1,"['everytime', 'you', 'think', 'undercover', 'brother', 'has', 'run', 'out', 'of', 'steam', 'it', 'finds', 'new', 'way', 'to', 'surprise', 'and', 'amuse']"
"manages to be original , even though it rips off many of its ideas .",1,"['manages', 'to', 'be', 'original', 'even', 'though', 'it', 'rips', 'off', 'many', 'of', 'its', 'ideas']"
"singer/composer bryan adams contributes a slew of songs  a few potential hits , a few more simply intrusive to the story  but the whole package certainly captures the intended , er , spirit of the piece .",1,"['singer', 'composer', 'bryan', 'adams', 'contributes', 'slew', 'of', 'songs', 'few', 'potential', 'hits', 'few', 'more', 'simply', 'intrusive', 'to', 'the', 'story', 'but', 'the', 'whole', 'package', 'certainly', 'captures', 'the', 'intended', 'er', 'spirit', 'of', 'the', 'piece']"
you'd think by now america would have had enough of plucky british eccentrics with hearts of gold . yet the act is still charming here .,1,"['you', 'think', 'by', 'now', 'america', 'would', 'have', 'had', 'enough', 'of', 'plucky', 'british', 'eccentrics', 'with', 'hearts', 'of', 'gold', 'yet', 'the', 'act', 'is', 'still', 'charming', 'here']"
"whether or not you're enlightened by any of derrida's lectures on "" the other "" and "" the self , "" derrida is an undeniably fascinating and playful fellow .",1,"['whether', 'or', 'not', 'you', 're', 'enlightened', 'by', 'any', 'of', 'derrida', 'lectures', 'on', 'the', 'other', 'and', 'the', 'self', 'derrida', 'is', 'an', 'undeniably', 'fascinating', 'and', 'playful', 'fellow']"
"a pleasant enough movie , held together by skilled ensemble actors .",1,"['pleasant', 'enough', 'movie', 'held', 'together', 'by', 'skilled', 'ensemble', 'actors']"
this is the best american movie about troubled teens since 1998's whatever .,1,"['this', 'is', 'the', 'best', 'american', 'movie', 'about', 'troubled', 'teens', 'since', 'whatever']"
disney has always been hit-or-miss when bringing beloved kids' books to the screen . . . tuck everlasting is a little of both .,1,"['disney', 'has', 'always', 'been', 'hit', 'or', 'miss', 'when', 'bringing', 'beloved', 'kids', 'books', 'to', 'the', 'screen', 'tuck', 'everlasting', 'is', 'little', 'of', 'both']"
just the labour involved in creating the layered richness of the imagery in this chiaroscuro of madness and light is astonishing .,1,"['just', 'the', 'labour', 'involved', 'in', 'creating', 'the', 'layered', 'richness', 'of', 'the', 'imagery', 'in', 'this', 'chiaroscuro', 'of', 'madness', 'and', 'light', 'is', 'astonishing']"
"the animated subplot keenly depicts the inner struggles of our adolescent heroes - insecure , uncontrolled , and intense .",1,"['the', 'animated', 'subplot', 'keenly', 'depicts', 'the', 'inner', 'struggles', 'of', 'our', 'adolescent', 'heroes', 'insecure', 'uncontrolled', 'and', 'intense']"
the invincible werner herzog is alive and well and living in la,1,"['the', 'invincible', 'werner', 'herzog', 'is', 'alive', 'and', 'well', 'and', 'living', 'in', 'la']"
"morton is a great actress portraying a complex character , but morvern callar grows less compelling the farther it meanders from its shocking start .",1,"['morton', 'is', 'great', 'actress', 'portraying', 'complex', 'character', 'but', 'morvern', 'callar', 'grows', 'less', 'compelling', 'the', 'farther', 'it', 'meanders', 'from', 'its', 'shocking', 'start']"
part of the charm of satin rouge is that it avoids the obvious with humour and lightness .,1,"['part', 'of', 'the', 'charm', 'of', 'satin', 'rouge', 'is', 'that', 'it', 'avoids', 'the', 'obvious', 'with', 'humour', 'and', 'lightness']"
son of the bride may be a good half-hour too long but comes replete with a flattering sense of mystery and quietness .,1,"['son', 'of', 'the', 'bride', 'may', 'be', 'good', 'half', 'hour', 'too', 'long', 'but', 'comes', 'replete', 'with', 'flattering', 'sense', 'of', 'mystery', 'and', 'quietness']"
a simmering psychological drama in which the bursts of sudden violence are all the more startling for the slow buildup that has preceded them .,1,"['simmering', 'psychological', 'drama', 'in', 'which', 'the', 'bursts', 'of', 'sudden', 'violence', 'are', 'all', 'the', 'more', 'startling', 'for', 'the', 'slow', 'buildup', 'that', 'has', 'preceded', 'them']"
"a taut , intelligent psychological drama .",1,"['taut', 'intelligent', 'psychological', 'drama']"
a compelling coming-of-age drama about the arduous journey of a sensitive young girl through a series of foster homes and a fierce struggle to pull free from her dangerous and domineering mother's hold over her .,1,"['compelling', 'coming', 'of', 'age', 'drama', 'about', 'the', 'arduous', 'journey', 'of', 'sensitive', 'young', 'girl', 'through', 'series', 'of', 'foster', 'homes', 'and', 'fierce', 'struggle', 'to', 'pull', 'free', 'from', 'her', 'dangerous', 'and', 'domineering', 'mother', 'hold', 'over', 'her']"
"a truly moving experience , and a perfect example of how art -- when done right -- can help heal , clarify , and comfort .",1,"['truly', 'moving', 'experience', 'and', 'perfect', 'example', 'of', 'how', 'art', 'when', 'done', 'right', 'can', 'help', 'heal', 'clarify', 'and', 'comfort']"
"this delicately observed story , deeply felt and masterfully stylized , is a triumph for its maverick director .",1,"['this', 'delicately', 'observed', 'story', 'deeply', 'felt', 'and', 'masterfully', 'stylized', 'is', 'triumph', 'for', 'its', 'maverick', 'director']"
at heart the movie is a deftly wrought suspense yarn whose richer shadings work as coloring rather than substance .,1,"['at', 'heart', 'the', 'movie', 'is', 'deftly', 'wrought', 'suspense', 'yarn', 'whose', 'richer', 'shadings', 'work', 'as', 'coloring', 'rather', 'than', 'substance']"
"the appearance of treebeard and gollum's expanded role will either have you loving what you're seeing , or rolling your eyes . i loved it ! gollum's 'performance' is incredible !",1,"['the', 'appearance', 'of', 'treebeard', 'and', 'gollum', 'expanded', 'role', 'will', 'either', 'have', 'you', 'loving', 'what', 'you', 're', 'seeing', 'or', 'rolling', 'your', 'eyes', 'loved', 'it', 'gollum', 'performance', 'is', 'incredible']"
"a screenplay more ingeniously constructed than "" memento """,1,"['screenplay', 'more', 'ingeniously', 'constructed', 'than', 'memento']"
"if this movie were a book , it would be a page-turner , you can't wait to see what happens next .",1,"['if', 'this', 'movie', 'were', 'book', 'it', 'would', 'be', 'page', 'turner', 'you', 'can', 'wait', 'to', 'see', 'what', 'happens', 'next']"
haneke challenges us to confront the reality of sexual aberration .,1,"['haneke', 'challenges', 'us', 'to', 'confront', 'the', 'reality', 'of', 'sexual', 'aberration']"
absorbing and disturbing -- perhaps more disturbing than originally intended -- but a little clarity would have gone a long way .,1,"['absorbing', 'and', 'disturbing', 'perhaps', 'more', 'disturbing', 'than', 'originally', 'intended', 'but', 'little', 'clarity', 'would', 'have', 'gone', 'long', 'way']"
"it's the best film of the year so far , the benchmark against which all other best picture contenders should be measured .",1,"['it', 'the', 'best', 'film', 'of', 'the', 'year', 'so', 'far', 'the', 'benchmark', 'against', 'which', 'all', 'other', 'best', 'picture', 'contenders', 'should', 'be', 'measured']"
"painful to watch , but viewers willing to take a chance will be rewarded with two of the year's most accomplished and riveting film performances .",1,"['painful', 'to', 'watch', 'but', 'viewers', 'willing', 'to', 'take', 'chance', 'will', 'be', 'rewarded', 'with', 'two', 'of', 'the', 'year', 'most', 'accomplished', 'and', 'riveting', 'film', 'performances']"
"this is a startling film that gives you a fascinating , albeit depressing view of iranian rural life close to the iraqi border .",1,"['this', 'is', 'startling', 'film', 'that', 'gives', 'you', 'fascinating', 'albeit', 'depressing', 'view', 'of', 'iranian', 'rural', 'life', 'close', 'to', 'the', 'iraqi', 'border']"
an imaginative comedy/thriller .,1,"['an', 'imaginative', 'comedy', 'thriller']"
"a few artsy flourishes aside , narc is as gritty as a movie gets these days .",1,"['few', 'artsy', 'flourishes', 'aside', 'narc', 'is', 'as', 'gritty', 'as', 'movie', 'gets', 'these', 'days']"
"while the isle is both preposterous and thoroughly misogynistic , its vistas are incredibly beautiful to look at .",1,"['while', 'the', 'isle', 'is', 'both', 'preposterous', 'and', 'thoroughly', 'misogynistic', 'its', 'vistas', 'are', 'incredibly', 'beautiful', 'to', 'look', 'at']"
"together , tok and o orchestrate a buoyant , darkly funny dance of death . in the process , they demonstrate that there's still a lot of life in hong kong cinema .",1,"['together', 'tok', 'and', 'orchestrate', 'buoyant', 'darkly', 'funny', 'dance', 'of', 'death', 'in', 'the', 'process', 'they', 'demonstrate', 'that', 'there', 'still', 'lot', 'of', 'life', 'in', 'hong', 'kong', 'cinema']"
"director kapur is a filmmaker with a real flair for epic landscapes and adventure , and this is a better film than his earlier english-language movie , the overpraised elizabeth .",1,"['director', 'kapur', 'is', 'filmmaker', 'with', 'real', 'flair', 'for', 'epic', 'landscapes', 'and', 'adventure', 'and', 'this', 'is', 'better', 'film', 'than', 'his', 'earlier', 'english', 'language', 'movie', 'the', 'overpraised', 'elizabeth']"
"the movie is a blast of educational energy , as bouncy animation and catchy songs escort you through the entire 85 minutes .",1,"['the', 'movie', 'is', 'blast', 'of', 'educational', 'energy', 'as', 'bouncy', 'animation', 'and', 'catchy', 'songs', 'escort', 'you', 'through', 'the', 'entire', 'minutes']"
a sports movie with action that's exciting on the field and a story you care about off it .,1,"['sports', 'movie', 'with', 'action', 'that', 'exciting', 'on', 'the', 'field', 'and', 'story', 'you', 'care', 'about', 'off', 'it']"
"doug liman , the director of bourne , directs the traffic well , gets a nice wintry look from his locations , absorbs us with the movie's spycraft and uses damon's ability to be focused and sincere .",1,"['doug', 'liman', 'the', 'director', 'of', 'bourne', 'directs', 'the', 'traffic', 'well', 'gets', 'nice', 'wintry', 'look', 'from', 'his', 'locations', 'absorbs', 'us', 'with', 'the', 'movie', 'spycraft', 'and', 'uses', 'damon', 'ability', 'to', 'be', 'focused', 'and', 'sincere']"
the tenderness of the piece is still intact .,1,"['the', 'tenderness', 'of', 'the', 'piece', 'is', 'still', 'intact']"
"katz uses archival footage , horrifying documents of lynchings , still photographs and charming old reel-to-reel recordings of meeropol entertaining his children to create his song history , but most powerful of all is the song itself",1,"['katz', 'uses', 'archival', 'footage', 'horrifying', 'documents', 'of', 'lynchings', 'still', 'photographs', 'and', 'charming', 'old', 'reel', 'to', 'reel', 'recordings', 'of', 'meeropol', 'entertaining', 'his', 'children', 'to', 'create', 'his', 'song', 'history', 'but', 'most', 'powerful', 'of', 'all', 'is', 'the', 'song', 'itself']"
"like the film's almost anthropologically detailed realization of early-'80s suburbia , it's significant without being overstated .",1,"['like', 'the', 'film', 'almost', 'detailed', 'realization', 'of', 'early', 'suburbia', 'it', 'significant', 'without', 'being', 'overstated']"
while mcfarlane's animation lifts the film firmly above the level of other coming-of-age films . . . it's also so jarring that it's hard to get back into the boys' story .,1,"['while', 'mcfarlane', 'animation', 'lifts', 'the', 'film', 'firmly', 'above', 'the', 'level', 'of', 'other', 'coming', 'of', 'age', 'films', 'it', 'also', 'so', 'jarring', 'that', 'it', 'hard', 'to', 'get', 'back', 'into', 'the', 'boys', 'story']"
"if nothing else , this movie introduces a promising , unusual kind of psychological horror .",1,"['if', 'nothing', 'else', 'this', 'movie', 'introduces', 'promising', 'unusual', 'kind', 'of', 'psychological', 'horror']"
"in a normal screen process , these bromides would be barely enough to sustain an interstitial program on the discovery channel . but in imax 3-d , the clichés disappear into the vertiginous perspectives opened up by the photography .",1,"['in', 'normal', 'screen', 'process', 'these', 'bromides', 'would', 'be', 'barely', 'enough', 'to', 'sustain', 'an', 'interstitial', 'program', 'on', 'the', 'discovery', 'channel', 'but', 'in', 'imax', 'the', 'clichés', 'disappear', 'into', 'the', 'vertiginous', 'perspectives', 'opened', 'up', 'by', 'the', 'photography']"
writer-director burger imaginatively fans the embers of a dormant national grief and curiosity that has calcified into chronic cynicism and fear .,1,"['writer', 'director', 'burger', 'imaginatively', 'fans', 'the', 'embers', 'of', 'dormant', 'national', 'grief', 'and', 'curiosity', 'that', 'has', 'calcified', 'into', 'chronic', 'cynicism', 'and', 'fear']"
. . . a roller-coaster ride of a movie,1,"['roller', 'coaster', 'ride', 'of', 'movie']"
"i enjoyed time of favor while i was watching it , but i was surprised at how quickly it faded from my memory .",1,"['enjoyed', 'time', 'of', 'favor', 'while', 'was', 'watching', 'it', 'but', 'was', 'surprised', 'at', 'how', 'quickly', 'it', 'faded', 'from', 'my', 'memory']"
"chicago is sophisticated , brash , sardonic , completely joyful in its execution .",1,"['chicago', 'is', 'sophisticated', 'brash', 'sardonic', 'completely', 'joyful', 'in', 'its', 'execution']"
steve irwin's method is ernest hemmingway at accelerated speed and volume .,1,"['steve', 'irwin', 'method', 'is', 'ernest', 'hemmingway', 'at', 'accelerated', 'speed', 'and', 'volume']"
a refreshing korean film about five female high school friends who face an uphill battle when they try to take their relationships into deeper waters .,1,"['refreshing', 'korean', 'film', 'about', 'five', 'female', 'high', 'school', 'friends', 'who', 'face', 'an', 'uphill', 'battle', 'when', 'they', 'try', 'to', 'take', 'their', 'relationships', 'into', 'deeper', 'waters']"
"on the surface , it's a lovers-on-the-run crime flick , but it has a lot in common with piesiewicz's and kieslowski's earlier work , films like the double life of veronique .",1,"['on', 'the', 'surface', 'it', 'lovers', 'on', 'the', 'run', 'crime', 'flick', 'but', 'it', 'has', 'lot', 'in', 'common', 'with', 'piesiewicz', 'and', 'kieslowski', 'earlier', 'work', 'films', 'like', 'the', 'double', 'life', 'of', 'veronique']"
"the values that have held the enterprise crew together through previous adventures and perils do so again-courage , self-sacrifice and patience under pressure .",1,"['the', 'values', 'that', 'have', 'held', 'the', 'enterprise', 'crew', 'together', 'through', 'previous', 'adventures', 'and', 'perils', 'do', 'so', 'again', 'courage', 'self', 'sacrifice', 'and', 'patience', 'under', 'pressure']"
"if it's possible for a sequel to outshine the original , then sl2 does just that .",1,"['if', 'it', 'possible', 'for', 'sequel', 'to', 'outshine', 'the', 'original', 'then', 'sl', 'does', 'just', 'that']"
a romantic comedy that operates by the rules of its own self-contained universe .,1,"['romantic', 'comedy', 'that', 'operates', 'by', 'the', 'rules', 'of', 'its', 'own', 'self', 'contained', 'universe']"
"4 friends , 2 couples , 2000 miles , and all the pabst blue ribbon beer they can drink - it's the ultimate redneck road-trip .",1,"['friends', 'couples', 'miles', 'and', 'all', 'the', 'pabst', 'blue', 'ribbon', 'beer', 'they', 'can', 'drink', 'it', 'the', 'ultimate', 'redneck', 'road', 'trip']"
the film is often filled with a sense of pure wonderment and excitement not often seen in today's cinema du sarcasm,1,"['the', 'film', 'is', 'often', 'filled', 'with', 'sense', 'of', 'pure', 'wonderment', 'and', 'excitement', 'not', 'often', 'seen', 'in', 'today', 'cinema', 'du', 'sarcasm']"
